Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION,NPI
f679c6db-9d26-3e46-9440-e9b65de41573,b5ae2539-cb53-3242-bf5b-b810dcc2c508,Rosette Bruen,F,GENERAL PRACTICE,1200 MEMORIAL DRIVE,DALTON,GA,30720,34.769222,-84.97042000000000,154,8827832351
84e0b201-6133-3c1e-9081-6a22c9b3c37e,bdf9ff67-ca46-3954-a4b2-52296aff635f,Janette Fisher,F,GENERAL PRACTICE,801 W GORDON STREET,THOMASTON,GA,30286,32.891673,-84.326691,120,4271943266
7558bf6e-3490-36be-8e5d-376e35a2d6a1,2008ee50-2097-3262-a994-b258c6bc3f1d,María Elena Rodarte,F,GENERAL PRACTICE,1900 TEBEAU STREET,WAYCROSS,GA,31501,31.211006,-82.357658,97,7008689349
b03fef14-3019-3edb-9ae5-84de51663942,2f5ed0cf-6fbc-3413-9e96-abb7b91d3421,Dagny Wyman,F,GENERAL PRACTICE,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,34.207649,-84.13357100000000,357,1159217696
9079a3f4-138b-3924-962a-7b93b26a72d7,ef976bcb-30e8-3371-98fa-b3e511a7b12f,Caitlyn Medhurst,F,GENERAL PRACTICE,1230 BAXTER STREET,ATHENS,GA,30606,33.949597,-83.370088,102,7334626796
bfe49e39-2b75-33e1-bd64-ffc911814466,48264bd0-fa65-3754-8891-c84e9d86bff6,Terrell Fadel,F,GENERAL PRACTICE,417 THIRD AVENUE,ALBANY,GA,31703,31.577669,-84.17945300000000,904,3597087604
a729939c-8436-3f8c-b640-28cbc10b235a,348c48e5-e511-362d-a05a-69882df35faa,Bernard Carter,M,GENERAL PRACTICE,450 NORTHSIDE CHEROKEE BOULEVARD,CANTON,GA,30115,34.247201000000000,-84.490723,171,5938352177
415e5980-9568-37ba-82c3-a38a8f9773a7,4bd8c4a2-d5ef-3625-a1b4-c31eac977cb2,Jodie Wintheiser,F,GENERAL PRACTICE,1364 CLIFTON ROAD  NE,ATLANTA,GA,30322,33.762909,-84.422675,449,9176056694
a117b80b-7655-38fe-bc3f-488133efd35b,6e0d0fc7-555d-3513-abf1-2da7126d10a7,Margaret Herzog,F,GENERAL PRACTICE,705 DIXIE STREET,CARROLLTON,GA,30117,33.584926,-85.034942,29,3198895383
f660f3b4-e2cd-3f15-a935-98ed669a8de4,93b0bfc0-5c96-3695-b4f4-31d8121c9998,Nicolás Jiménez,M,GENERAL PRACTICE,601 DALLAS HIGHWAY,VILLA RICA,GA,30180,33.72096,-84.95071800000000,187,9861919864
c3bfab6b-f163-3ee3-81bf-6126bd94bf83,1362d781-836f-35ad-95d1-749a00346e77,Carl Halvorson,M,GENERAL PRACTICE,1514 VERNON ROAD,LAGRANGE,GA,30240,33.030397,-85.03787,57,6102766687
87092f68-1316-3fc4-bcc0-27596d455bd1,dc3aa464-1a60-34f8-bdd8-b06fcc5a2544,Vicente Kilback,M,GENERAL PRACTICE,5126 HOSPITAL DRIVE NE,COVINGTON,GA,30014,33.605079,-83.847436,286,9624044902
ea51599d-516e-3d36-9e6e-444a3c0adb41,b9edceda-bd2d-396a-9acc-1275f959d336,Tracy Spencer,F,GENERAL PRACTICE,1035 RED BUD ROAD,CALHOUN,GA,30701,34.483191,-84.94508,1981,9809796250
0d27b6f2-7a22-3705-9bcb-5c612e7cc220,8b2f7617-d618-3b88-b48f-d8ef71649327,Franklin Bayer,M,GENERAL PRACTICE,5353 REYNOLDS STREET,SAVANNAH,GA,31412,31.916773,-81.119488,582,283999152
567570a7-0be3-350a-9b23-c8b325c3c504,603f88d8-4c4f-310e-9e87-10ca456ee786,Jesus Crona,M,GENERAL PRACTICE,2415 PARKWOOD DRIVE,BRUNSWICK,GA,31520,31.13617,-81.466915,390,9398154307
6d5921ed-6490-3adb-87f0-48eaca91de53,96b94ec0-5efa-3947-a0f1-e75dc48d4a25,Dinah Schaefer,F,GENERAL PRACTICE,4 MEDICAL DRIVE,ELBERTON,GA,30635,34.106786,-82.87263400000000,44,8983396903
6e94c400-f57d-3891-904b-bda4282d24f6,ac779617-f1ce-3e70-a1fe-bb2ecf521242,Ellan Jacobi,F,GENERAL PRACTICE,367 CLEAR CREEK PARKWAY,LAVONIA,GA,30553,34.453396000000000,-83.133218,9,2481177177
5557f8ef-9654-382a-aa47-1eacc1193b76,9e9add85-abda-3b47-be83-2c8662d18054,Stefania Leffler,F,GENERAL PRACTICE,1350 WALTON WAY,AUGUSTA,GA,30901,33.365531,-82.073422,40,1233163477
47e790f9-1060-3d0e-81e0-484b9b193f5a,5e2da040-7980-30bb-9fa7-8bb99d47d11f,Ashlyn Walker,F,GENERAL PRACTICE,743 SPRING STREET,GAINESVILLE,GA,30501,34.289658,-83.829893,654,4250608506
2a78d990-8826-3025-901e-5d0acebbf06d,b32d9f95-8a9a-33ea-b782-257d68fc664e,Melvina Glover,F,GENERAL PRACTICE,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,34.162947,-84.800415,557,6675121502
561cbe18-4d08-355b-81bd-6d18b0e017b0,f0bbfbe3-b966-3667-ad35-b20a611d58a4,Benito Garrido,M,GENERAL PRACTICE,601 SOUTH 8TH STREET,GRIFFIN,GA,30223,33.241252,-84.276676,745,3788427337
2624703d-0e23-3343-8365-6858dcb3e2e9,90e5791e-e674-384b-ae94-54543b19fc43,Amos Jacobson,M,GENERAL PRACTICE,1120 15TH STREET,AUGUSTA,GA,30912,33.444691,-82.021331,2078,7756174879
25c34953-c000-35c1-9854-c395db2ef34e,312685ee-eb88-3a82-8f0b-82da9039fbdd,Robbie Friesen,F,GENERAL PRACTICE,677 CHURCH STREET,MARIETTA,GA,30060,33.953561,-84.542463,627,7883313215
3dd153d7-62be-38a7-a818-fc83825af437,f41dbc39-d83e-38db-a709-afa143a0c264,Juan Santiago,M,GENERAL PRACTICE,4700 WATERS AVENUE,SAVANNAH,GA,31403,32.002512,-81.15355700000000,1364,4137788103
75d4224d-56b3-361a-ab11-56fc63407211,03024c25-03db-3a9a-bff1-b57677c8657c,Benedict Ziemann,M,GENERAL PRACTICE,915 GORDON AVENUE & MIMOSA DRIVE,THOMASVILLE,GA,31792,30.788043,-83.96762,78,3964016004
